setor,date_base,target_date,target_taxa,taxa_atual,taxa_media_3m,taxa_media_6m,taxa_tendencia_6m,taxa_volatilidade_6m,saldo_atual,estoque_atual,admissoes_atual,desligamentos_atual,saldo_medio_6m,taxa_lag_6m,taxa_lag_5m,taxa_lag_4m,taxa_lag_3m,taxa_lag_2m,taxa_lag_1m
"Administração Pública, Defesa e Seguridade Social",2021-05-01,2021-06-01,0.001335857273164177,0.0021076243753732045,0.003929795325118523,-0.0003018770357661146,0.004467996559918442,0.014291534506490823,1073.0,509104.0,5050.0,3977.0,-102.5,-0.0312436776214099,0.004467324882073097,0.013175704549384545,0.0064221179955566525,0.0032596436044257143,0.0021076243753732045
"Administração Pública, Defesa e Seguridade Social",2021-06-01,2021-07-01,0.0013575511579343282,0.001335857273164177,0.002234375084321032,0.005128045446662898,-0.0014864015130774152,0.003955387728467768,681.0,509785.0,4431.0,3750.0,2584.8333333333335,0.004467324882073097,0.013175704549384545,0.0064221179955566525,0.0032596436044257143,0.0021076243753732045,0.001335857273164177
"Administração Pública, Defesa e Seguridade Social",2021-07-01,2021-08-01,0.002239926195800041,0.0013575511579343282,0.0016003442688239033,0.004609749825973103,-0.002157187667242315,0.004203943504008787,693.0,510478.0,4363.0,3670.0,2330.6666666666665,0.013175704549384545,0.0064221179955566525,0.0032596436044257143,0.0021076243753732045,0.001335857273164177,0.0013575511579343282
"Administração Pública, Defesa e Seguridade Social",2021-08-01,2021-09-01,0.001841706856456119,0.002239926195800041,0.0016444448756328487,0.002787120100375686,-0.0007825429554418927,0.0017486878377891428,1146.0,511624.0,5955.0,4809.0,1416.8333333333333,0.0064221179955566525,0.0032596436044257143,0.0021076243753732045,0.001335857273164177,0.0013575511579343282,0.002239926195800041
"Administração Pública, Defesa e Seguridade Social",2021-09-01,2021-10-01,0.0018033316844987479,0.001841706856456119,0.0018130614033968293,0.0020237182438589307,-0.00019060241125135193,0.0006495327886000183,944.0,512568.0,5663.0,4719.0,1032.1666666666667,0.0032596436044257143,0.0021076243753732045,0.001335857273164177,0.0013575511579343282,0.002239926195800041,0.001841706856456119
"Administração Pública, Defesa e Seguridade Social",2021-10-01,2021-11-01,-0.0001207560105330404,0.0018033316844987479,0.001961654912251636,0.0017809995905377696,2.509886666769306e-05,0.0003413067367811915,926.0,513494.0,5043.0,4117.0,910.5,0.0021076243753732045,0.001335857273164177,0.0013575511579343282,0.002239926195800041,0.001841706856456119,0.0018033316844987479
"Administração Pública, Defesa e Seguridade Social",2021-11-01,2021-12-01,-0.03587821220258691,-0.0001207560105330404,0.0011747608434739421,0.0014096028595533955,-0.00018125554794676412,0.0007507018001902708,-62.0,513432.0,3736.0,3798.0,721.3333333333334,0.001335857273164177,0.0013575511579343282,0.002239926195800041,0.001841706856456119,0.0018033316844987479,-0.0001207560105330404
"Administração Pública, Defesa e Seguridade Social",2021-12-01,2022-01-01,0.0024453371546338636,-0.03587821220258691,-0.0113985455095404,-0.0047927420530717866,-0.005522835388387507,0.013922060062856564,-17783.0,495649.0,2370.0,20153.0,-2356.0,0.0013575511579343282,0.002239926195800041,0.001841706856456119,0.0018033316844987479,-0.0001207560105330404,-0.03587821220258691
"Administração Pública, Defesa e Seguridade Social",2022-01-01,2022-02-01,0.023030927470176592,0.0024453371546338636,-0.01118454368616203,-0.004611444386955197,-0.003258765430799765,0.014007789555196014,1215.0,496864.0,6084.0,4869.0,-2269.0,0.002239926195800041,0.001841706856456119,0.0018033316844987479,-0.0001207560105330404,-0.03587821220258691,0.0024453371546338636
"Administração Pública, Defesa e Seguridade Social",2022-02-01,2022-03-01,0.01088157270329773,0.023030927470176592,-0.0034673158592588176,-0.0011462775078924382,0.002060418951055823,0.017428062444245575,11713.0,508577.0,20466.0,8753.0,-507.8333333333333,0.001841706856456119,0.0018033316844987479,-0.0001207560105330404,-0.03587821220258691,0.0024453371546338636,0.023030927470176592
"Administração Pública, Defesa e Seguridade Social",2022-03-01,2022-04-01,0.00567003929577029,0.01088157270329773,0.012119279109369394,0.00036036679991449747,0.004376280139809846,0.018002524966806238,5595.0,514172.0,11487.0,5892.0,267.3333333333333,0.0018033316844987479,-0.0001207560105330404,-0.03587821220258691,0.0024453371546338636,0.023030927470176592,0.01088157270329773
"Administração Pública, Defesa e Seguridade Social",2022-04-01,2022-05-01,0.003393946402243358,0.00567003929577029,0.013194179823081539,0.0010048180684597535,0.005423397758991809,0.01811152487972239,2932.0,517104.0,8561.0,5629.0,601.6666666666666,-0.0001207560105330404,-0.03587821220258691,0.0024453371546338636,0.023030927470176592,0.01088157270329773,0.00567003929577029
"Administração Pública, Defesa e Seguridade Social",2022-05-01,2022-06-01,0.00580386055405887,0.003393946402243358,0.006648519467103793,0.0015906018039224875,0.00553958699087662,0.018122482181406652,1761.0,518865.0,7697.0,5936.0,905.5,-0.03587821220258691,0.0024453371546338636,0.023030927470176592,0.01088157270329773,0.00567003929577029,0.003393946402243358
"Administração Pública, Defesa e Seguridade Social",2022-06-01,2022-07-01,0.0077928793729194114,0.00580386055405887,0.00495594875069084,0.008537613930030117,-0.0013522817032629178,0.007009753013384237,3029.0,521894.0,8324.0,5295.0,4374.166666666667,0.0024453371546338636,0.023030927470176592,0.01088157270329773,0.00567003929577029,0.003393946402243358,0.00580386055405887
"Administração Pública, Defesa e Seguridade Social",2022-07-01,2022-08-01,0.008673281881661154,0.0077928793729194114,0.005663562109740547,0.009428870966411042,-0.002677127709357983,0.006499904902830344,4099.0,525993.0,9284.0,5185.0,4854.833333333333,0.023030927470176592,0.01088157270329773,0.00567003929577029,0.003393946402243358,0.00580386055405887,0.0077928793729194114
"Administração Pública, Defesa e Seguridade Social",2022-08-01,2022-09-01,0.0059259064969518025,0.008673281881661154,0.007423340602879812,0.007035930034991801,-6.465770642628588e-05,0.002404529004497579,4602.0,530595.0,10202.0,5600.0,3669.6666666666665,0.01088157270329773,0.00567003929577029,0.003393946402243358,0.00580386055405887,0.0077928793729194114,0.008673281881661154
"Administração Pública, Defesa e Seguridade Social",2022-09-01,2022-10-01,0.004949544474127212,0.0059259064969518025,0.007464022583844122,0.006209985667267481,0.0005458960360863285,0.0016852615292626064,3163.0,533758.0,7858.0,4695.0,3264.3333333333335,0.00567003929577029,0.003393946402243358,0.00580386055405887,0.0077928793729194114,0.008673281881661154,0.0059259064969518025
"Administração Pública, Defesa e Seguridade Social",2022-10-01,2022-11-01,0.00329810400826477,0.004949544474127212,0.006516244284246723,0.006089903196993634,0.000257843734195423,0.0017440990822076166,2655.0,536413.0,6593.0,3938.0,3218.1666666666665,0.003393946402243358,0.00580386055405887,0.0077928793729194114,0.008673281881661154,0.0059259064969518025,0.004949544474127212
"Administração Pública, Defesa e Seguridade Social",2022-11-01,2022-12-01,-0.044345910912319174,0.00329810400826477,0.004724518326447928,0.006073929464663869,-0.0006801760802873268,0.0017689789127075732,1775.0,538188.0,5781.0,4006.0,3220.5,0.00580386055405887,0.0077928793729194114,0.008673281881661154,0.0059259064969518025,0.004949544474127212,0.00329810400826477
"Administração Pública, Defesa e Seguridade Social",2022-12-01,2023-01-01,0.015745474894906023,-0.044345910912319174,-0.012032754143309064,-0.0022843657797324713,-0.007937024201977332,0.01889310495229502,-22853.0,515335.0,4390.0,27243.0,-1093.1666666666667,0.0077928793729194114,0.008673281881661154,0.0059259064969518025,0.004949544474127212,0.00329810400826477,-0.044345910912319174
"Administração Pública, Defesa e Seguridade Social",2023-01-01,2023-02-01,0.0369366883714086,0.015745474894906023,-0.008434110669716128,-0.0009589331927347018,-0.003345883646498601,0.01981026730452653,8244.0,523579.0,16266.0,8022.0,-402.3333333333333,0.008673281881661154,0.0059259064969518025,0.004949544474127212,0.00329810400826477,-0.044345910912319174,0.015745474894906023
"Administração Pública, Defesa e Seguridade Social",2023-02-01,2023-03-01,0.01515329921652099,0.0369366883714086,0.00277875078466515,0.003751634555556539,0.0039942195918296125,0.024374994083714328,20081.0,543660.0,26038.0,5957.0,2177.5,0.0059259064969518025,0.004949544474127212,0.00329810400826477,-0.044345910912319174,0.015745474894906023,0.0369366883714086
"Administração Pública, Defesa e Seguridade Social",2023-03-01,2023-04-01,0.008230238265487615,0.01515329921652099,0.022611820827611873,0.0052895333421514035,0.006057883217389301,0.024751840746315344,8365.0,552025.0,14132.0,5767.0,3044.5,0.004949544474127212,0.00329810400826477,-0.044345910912319174,0.015745474894906023,0.0369366883714086,0.01515329921652099
"Administração Pública, Defesa e Seguridade Social",2023-04-01,2023-05-01,0.00485587908217449,0.008230238265487615,0.020106741951139068,0.005836315640711471,0.006409986147118206,0.024774516644156013,4581.0,556606.0,9386.0,4805.0,3365.5,0.00329810400826477,-0.044345910912319174,0.015745474894906023,0.0369366883714086,0.01515329921652099,0.008230238265487615
"Administração Pública, Defesa e Seguridade Social",2023-05-01,2023-06-01,0.0030888237338585344,0.00485587908217449,0.009413138854727698,0.006095944819696424,0.005762281455123584,0.02475471114555815,2716.0,559322.0,8810.0,6094.0,3522.3333333333335,-0.044345910912319174,0.015745474894906023,0.0369366883714086,0.01515329921652099,0.008230238265487615,0.00485587908217449
"Administração Pública, Defesa e Seguridade Social",2023-06-01,2023-07-01,-0.00036194931996319887,0.0030888237338585344,0.005391647027173547,0.014001733927392708,-0.004755678417827804,0.011302118550986557,1733.0,561055.0,7077.0,5344.0,7620.0,0.015745474894906023,0.0369366883714086,0.01515329921652099,0.008230238265487615,0.00485587908217449,0.0030888237338585344
"Administração Pública, Defesa e Seguridade Social",2023-07-01,2023-08-01,0.001902402650906444,-0.00036194931996319887,0.0025275844986899416,0.011317163224914507,-0.006458884973947413,0.012426185705814214,-203.0,560852.0,5772.0,5975.0,6212.166666666667,0.0369366883714086,0.01515329921652099,0.008230238265487615,0.00485587908217449,0.0030888237338585344,-0.00036194931996319887
"Administração Pública, Defesa e Seguridade Social",2023-08-01,2023-09-01,0.0014145654032133382,0.001902402650906444,0.0015430923549339265,0.005478115604830813,-0.0026799457409354597,0.005069045479652494,1069.0,561921.0,6966.0,5897.0,3043.5,0.01515329921652099,0.008230238265487615,0.00485587908217449,0.0030888237338585344,-0.00036194931996319887,0.001902402650906444
